Date;Total_count;Msp_sum;Pref_1;Pref_2;Pref_3;Pref_4;Pref_5;Pref_6;Pref_7;Pref_8;Pref_9;Pref_10;Pref_11;Pref_12;Pref_13;Pref_14;Pref_15;Pref_16;Pref_17;Pref_18;Pref_19;Pref_20;Pref_21;Pref_22;Pref_23;Pref_24;Pref_25;Pref_26;Pref_27;Pref_28;Pref_29;Pref_30;Pref_31;Pref_32;Msp_1;Msp_2;Msp_3;Msp_4;Msp_5;Msp_6;Msp_7;Msp_8;Msp_9;Msp_10;Msp_11;Msp_12;Msp_13;Msp_14;Msp_15;Msp_16;Msp_17;Msp_18;Msp_19;Msp_20;Msp_21;Msp_22;Msp_23;Msp_24;Msp_25;Msp_26;Msp_27;Msp_28;Msp_29;Msp_30;Msp_31;Msp_32;Per_8
2013.11.01;489357;50056;0;0;0;0;0;0;0;16;11;31;92;254;474;932;1653;13019;7057;11590;24240;35116;37077;52043;45383;258557;170;152;182;273;281;326;20;407;0;0;0;0;0;0;0;15;9;21;65;148;274;559;826;4660;2742;4226;6889;8677;7406;7603;5750;168;4;5;1;5;2;1;0;0;158.22582632303238
2013.11.02;489539;50030;0;0;0;0;0;0;0;16;11;31;92;254;474;932;1653;13019;7057;11619;24226;35120;37103;51998;45526;258590;171;151;182;274;282;328;19;410;0;0;0;0;0;0;0;15;9;21;65;148;274;558;826;4659;2748;4228;6897;8656;7399;7597;5743;169;4;5;1;5;2;1;0;0;158.24065786600113
2013.11.03;489901;50142;0;0;0;0;0;0;0;16;11;31;92;254;474;932;1653;13021;7057;11617;24259;35146;37116;52205;45586;258596;171;149;182;274;283;342;19;414;0;0;0;0;0;0;0;15;9;21;65;148;274;558;827;4661;2749;4232;6904;8690;7418;7618;5765;170;4;5;1;5;2;1;0;0;158.235500395298
2013.11.04;489667;49953;0;0;0;0;0;0;0;16;11;31;92;254;474;932;1653;13024;7057;11626;24273;35145;37030;51758;45613;258803;171;151;185;274;283;342;19;449;0;0;0;0;0;0;0;15;9;21;65;148;274;558;827;4661;2748;4242;6909;8669;7252;7594;5770;171;4;5;3;5;2;1;0;0;158.23438650369644
2013.11.06;489049;49889;0;0;0;0;0;0;0;17;11;31;92;254;473;932;1654;12997;7075;11627;24293;35181;37022;51538;45491;258500;171;152;185;273;285;343;20;431;0;0;0;0;0;0;0;16;9;21;65;148;272;554;826;4653;2751;4235;6923;8637;7240;7586;5764;169;4;5;3;5;2;1;0;0;158.27134329080582
2013.11.07;489241;49800;0;0;0;0;0;0;0;16;11;31;92;254;474;934;1654;12996;7078;11625;24275;35100;37046;51595;45497;258670;171;154;185;272;289;357;21;443;0;0;0;0;0;0;0;15;9;21;65;149;272;554;823;4650;2754;4237;6883;8581;7234;7588;5777;168;4;5;3;5;2;1;0;0;158.2650567293167
2013.11.08;489796;49883;0;0;0;0;0;0;0;16;11;31;92;254;474;934;1653;13003;7082;11644;24349;35129;37068;51568;45594;258994;169;154;184;274;289;356;22;451;0;0;0;0;0;0;0;15;9;21;65;149;272;557;823;4653;2755;4244;6890;8585;7264;7603;5784;174;4;5;3;5;2;1;0;0;158.29240041971207
2013.11.09;489974;49857;0;0;0;0;0;0;0;16;11;31;92;254;474;934;1653;13004;7081;11646;24390;35128;37051;51661;45574;259051;170;154;185;275;288;359;24;467;0;0;0;0;0;0;0;15;9;21;65;149;272;557;824;4652;2751;4243;6897;8584;7259;7602;5761;176;4;5;3;5;2;1;0;0;158.30822378396988
2013.11.10;490074;49861;0;0;0;0;0;0;0;16;11;31;92;254;475;934;1653;13010;7085;11652;24378;35122;37051;51690;45604;259097;171;154;185;276;290;358;26;458;0;0;0;0;0;0;0;15;9;21;65;149;273;557;825;4658;2757;4247;6905;8586;7254;7607;5737;177;4;5;3;5;2;0;0;0;158.30271536111832
2013.11.11;489902;49796;0;0;0;0;0;0;0;16;11;31;92;254;474;933;1650;12995;7080;11650;24351;35119;37069;51649;45566;259043;170;154;185;276;290;358;25;460;0;0;0;0;0;0;0;15;9;21;65;149;272;557;822;4648;2747;4243;6898;8576;7253;7607;5721;174;4;5;3;5;2;0;0;0;158.2836418747902
2013.11.12;490043;49785;0;0;0;0;0;0;0;16;11;31;92;253;474;934;1650;12990;7084;11654;24351;35112;37047;51647;45599;259193;170;154;187;271;284;359;25;454;0;0;0;0;0;0;0;15;9;21;65;148;271;557;822;4654;2747;4246;6894;8569;7241;7611;5722;175;4;5;3;4;2;0;0;0;158.30395132303238
2013.11.13;491066;49751;0;0;0;0;0;0;0;16;11;31;92;253;474;933;1649;12989;7057;11641;24300;35134;37010;51685;45633;259407;176;162;242;399;910;373;27;461;0;0;0;0;0;0;0;15;9;21;65;149;271;556;819;4639;2729;4234;6876;8579;7235;7615;5726;189;5;5;6;6;2;0;0;0;158.30877500772476
2013.11.14;493125;49846;0;0;0;0;0;0;0;16;11;31;92;253;474;933;1650;12982;7066;11625;24331;35170;37255;51982;46224;260239;175;163;241;407;918;372;27;487;0;0;0;0;0;0;0;15;9;21;65;149;271;557;821;4704;2728;4211;6884;8596;7250;7619;5730;192;5;5;6;6;2;0;0;0;158.2909832596779
2013.11.15;493206;49854;0;0;0;0;0;0;0;16;11;31;92;253;474;933;1648;12980;7069;11630;24327;35195;37273;51836;46257;260351;175;164;242;414;921;395;28;490;0;0;0;0;0;0;0;15;9;21;65;149;271;557;819;4700;2733;4208;6884;8610;7239;7621;5736;193;5;5;6;6;2;0;0;0;158.28220945596695
2013.11.16;491828;49853;0;0;0;0;0;0;0;16;11;31;92;254;474;933;1651;12983;7080;11634;24344;35212;37106;51780;45611;259771;174;164;244;415;922;398;28;499;0;0;0;0;0;0;0;15;9;21;65;150;271;557;821;4648;2742;4217;6895;8620;7260;7603;5739;196;5;5;6;6;2;0;0;0;158.31004148721695
2013.11.17;491748;49822;0;0;0;0;0;0;0;16;11;31;92;254;474;933;1651;12982;7079;11634;24336;35205;37078;51758;45560;259812;172;164;244;416;920;399;28;498;0;0;0;0;0;0;0;15;9;21;65;150;271;557;821;4646;2740;4213;6886;8608;7257;7602;5743;194;5;5;6;6;2;0;0;0;158.30373960733414
2013.11.18;491935;49857;0;0;0;0;0;0;0;16;11;31;92;254;474;933;1651;12979;7080;11635;24339;35209;37081;51775;45611;259916;175;164;244;416;921;398;29;500;0;0;0;0;0;0;0;15;9;21;65;150;271;557;821;4648;2738;4215;6894;8615;7254;7605;5759;196;5;5;6;6;2;0;0;0;158.2983837723732
2013.11.19;492256;49896;0;0;0;0;0;0;0;16;11;31;92;254;474;933;1649;12987;7081;11641;24339;35167;37097;51806;45661;260161;172;164;252;417;920;390;27;513;0;0;0;0;0;0;0;15;9;21;65;150;271;558;821;4651;2739;4224;6889;8627;7258;7625;5751;198;5;5;6;6;2;0;0;0;158.31089597940445
2013.11.20;492367;49922;0;0;0;0;0;0;0;16;11;31;94;254;475;933;1647;12992;7079;11645;24344;35169;37118;51795;45612;260312;173;164;245;412;911;393;28;513;0;0;0;0;0;0;0;15;9;21;66;150;272;558;821;4653;2738;4228;6892;8640;7254;7642;5739;200;5;5;6;6;2;0;0;0;158.55424332618713
2013.11.21;492245;49872;0;0;0;0;0;0;0;16;11;31;92;253;473;933;1647;12975;7074;11621;24323;35230;37151;51779;45653;260151;173;163;244;409;905;395;30;512;0;0;0;0;0;0;0;15;9;21;65;149;270;558;818;4641;2731;4208;6892;8643;7252;7640;5737;199;5;5;6;6;2;0;0;0;158.21922135353088
2013.11.22;491719;49854;0;0;0;0;0;0;0;16;11;31;92;253;474;934;1649;12969;7094;11613;24327;35249;37166;51778;45633;259587;173;164;243;409;906;397;32;518;0;0;0;0;0;0;0;15;9;21;65;149;271;559;820;4652;2740;4218;6883;8657;7251;7615;5710;195;5;5;6;6;2;0;0;0;158.2520887851715
2013.11.23;492204;49930;0;0;0;0;0;0;0;16;11;31;92;253;474;935;1650;12970;7092;11610;24322;35265;37169;51816;45663;259989;174;163;244;407;905;403;32;517;0;0;0;0;0;0;0;15;9;21;65;148;271;558;819;4652;2734;4219;6903;8648;7251;7653;5745;195;5;5;6;6;2;0;0;0;158.28184342384338
2013.11.24;491864;49863;0;0;0;0;0;0;0;16;11;31;92;253;474;936;1651;12971;7097;11600;24308;35223;37175;51820;45633;259659;174;164;244;403;908;435;32;553;0;0;0;0;0;0;0;15;9;21;65;148;271;559;819;4652;2731;4216;6894;8595;7232;7655;5760;198;5;4;6;6;2;0;0;0;158.29487442970276
2013.11.25;492225;49932;0;0;0;0;0;0;0;16;11;31;92;253;474;936;1650;12975;7098;11619;24334;35249;37180;51833;45643;259913;174;164;245;405;908;436;32;553;0;0;0;0;0;0;0;15;9;21;65;148;271;559;819;4656;2737;4221;6907;8620;7250;7657;5760;194;5;4;6;6;2;0;0;0;158.2964460849762
2013.11.26;492350;49958;0;0;0;0;0;0;0;16;11;31;92;253;474;936;1650;12978;7089;11616;24335;35252;37182;51887;45672;259917;174;164;243;404;910;435;33;595;0;0;0;0;0;0;0;15;9;21;65;148;271;559;819;4654;2731;4221;6909;8600;7266;7675;5778;194;5;4;6;6;2;0;0;0;158.31162858009338
2013.11.27;492293;49900;0;0;0;0;0;0;0;16;11;31;92;253;474;936;1649;12990;7081;11638;24326;35258;37183;51847;45626;259830;176;165;245;425;956;446;34;604;0;0;0;0;0;0;0;15;9;21;65;148;271;560;819;4647;2743;4220;6903;8598;7262;7627;5768;201;5;4;6;6;2;0;0;0;158.338636636734
2013.11.28;491726;49892;0;0;0;0;0;0;0;16;11;31;92;253;475;936;1650;12994;7095;11595;24346;35243;37004;51801;45480;259723;175;163;244;401;912;448;35;602;0;0;0;0;0;0;0;15;9;21;65;148;271;560;817;4655;2742;4217;6898;8592;7278;7612;5775;194;5;4;6;6;2;0;0;0;158.35009598731995
2013.11.29;485691;48690;0;0;0;0;0;0;0;16;11;31;92;253;475;932;1652;12917;6987;11430;23618;34073;36376;51278;44963;257593;176;165;245;403;913;447;35;609;0;0;0;0;0;0;0;15;9;21;65;147;266;548;785;4511;2643;4139;6790;8153;7070;7533;5774;196;5;5;6;7;2;0;0;0;158.37658524513245
2013.11.30;485163;48683;0;0;0;0;0;0;0;16;11;31;92;253;476;939;1661;12916;6984;11459;23622;34073;36389;51207;44902;257942;169;154;190;287;297;447;35;610;0;0;0;0;0;0;0;15;9;21;65;147;267;553;788;4513;2645;4161;6788;8170;7078;7472;5793;180;4;4;3;5;2;0;0;0;158.42359566688538
2013.12.01;485190;48653;0;0;0;0;0;0;0;16;11;31;92;253;476;939;1661;12922;6983;11460;23622;34060;36398;51250;44968;257861;165;154;190;287;297;447;35;611;0;0;0;0;0;0;0;15;9;21;65;147;267;553;788;4515;2639;4160;6791;8177;7074;7453;5780;181;4;4;3;5;2;0;0;0;158.40589547157288
2013.12.02;484542;48573;0;0;0;0;0;0;0;16;11;31;92;253;476;939;1661;12919;6991;11454;23613;34068;36333;51235;44907;257354;165;154;190;287;297;447;40;608;0;0;0;0;0;0;0;15;9;21;65;147;267;553;789;4515;2639;4154;6794;8166;7056;7437;5750;178;4;4;3;5;2;0;0;0;158.39971566200256
2013.12.03;484858;48588;0;0;0;0;0;0;0;16;11;31;92;253;476;939;1660;12925;6993;11456;23621;34084;36368;51287;45002;257484;167;154;191;287;296;447;40;577;0;0;0;0;0;0;0;15;9;21;65;147;267;553;788;4518;2641;4158;6801;8181;7063;7449;5714;180;4;4;3;5;2;0;0;0;158.38508248329163
2013.12.04;485126;48857;0;0;0;0;0;0;0;16;11;31;92;253;476;941;1660;12921;6990;11465;23647;34113;36535;51545;44962;257321;167;154;190;287;296;447;40;565;0;0;0;0;0;0;0;15;9;21;65;148;268;554;791;4530;2641;4163;6796;8186;7267;7470;5735;180;4;4;3;5;2;0;0;0;158.4402735233307
2013.12.05;484936;48692;0;0;0;0;0;0;0;16;11;31;92;253;475;940;1658;12916;6994;11471;23628;34103;36448;51350;44971;257442;168;155;191;286;296;445;38;557;0;0;0;0;0;0;0;15;9;21;65;148;267;553;789;4529;2641;4167;6788;8192;7080;7484;5748;178;4;4;3;5;2;0;0;0;158.4230921268463
2013.12.06;484913;48814;0;0;0;0;0;0;0;16;11;31;92;253;476;939;1658;12910;6984;11459;23614;34075;36528;51495;44986;257616;165;149;183;265;259;179;27;542;0;0;0;0;0;0;0;15;9;21;65;148;269;553;784;4520;2636;4146;6764;8180;7248;7481;5775;181;5;4;3;5;2;0;0;0;158.40058541297913
2013.12.07;484667;48602;0;0;0;0;0;0;0;16;11;31;92;253;476;939;1660;12923;6989;11435;23580;34029;36433;51267;44969;257770;168;149;182;265;261;184;27;557;0;0;0;0;0;0;0;15;9;21;65;148;269;554;785;4530;2636;4135;6751;8171;7067;7475;5770;182;5;4;3;5;2;0;0;0;158.43603163957596
2013.12.08;485092;48627;0;0;0;0;0;0;0;16;11;31;92;253;476;940;1660;12924;6993;11452;23613;34063;36466;51374;44962;257927;167;150;182;265;260;184;27;603;0;0;0;0;0;0;0;15;9;21;65;148;269;556;785;4528;2639;4136;6758;8168;7077;7476;5773;185;5;4;3;5;2;0;0;0;158.46577101945877
2013.12.09;484584;48601;0;0;0;0;0;0;0;16;11;31;92;253;475;940;1659;12924;6986;11465;23627;34094;36455;51316;44911;257501;166;150;182;265;267;184;27;586;0;0;0;0;0;0;0;15;9;21;65;148;268;554;785;4525;2641;4144;6778;8155;7054;7470;5764;186;5;4;3;5;2;0;0;0;158.44779616594315
2013.12.10;485419;48643;0;0;0;0;0;0;0;16;11;31;92;253;475;940;1659;12923;6987;11472;23663;34062;36497;51376;44975;258155;167;150;183;263;266;184;28;590;0;0;0;0;0;0;0;15;9;21;65;148;268;554;786;4521;2644;4154;6773;8159;7075;7465;5780;188;5;4;3;4;2;0;0;0;158.46438246965408
2013.12.11;485543;48691;0;0;0;0;0;0;0;16;11;31;92;253;475;938;1657;12920;6987;11470;23656;34106;36503;51399;44989;258240;167;149;185;265;267;184;28;554;0;0;0;0;0;0;0;15;9;21;65;148;268;554;785;4526;2643;4150;6786;8160;7090;7487;5781;185;5;4;3;4;2;0;0;0;158.40726882219315
2013.12.12;485446;48653;0;0;0;0;0;0;0;16;11;31;92;253;475;939;1655;12911;6983;11466;23656;34097;36566;51240;44911;258338;165;151;183;266;267;185;30;558;0;0;0;0;0;0;0;15;9;21;65;148;268;552;783;4520;2640;4146;6775;8176;7097;7471;5764;185;5;4;3;4;2;0;0;0;158.42782241106033
2013.12.13;485253;48687;0;0;0;0;0;0;0;16;11;31;92;253;474;939;1658;12922;6959;11473;23642;34111;36546;51448;44733;258143;166;154;184;266;268;185;30;548;0;0;0;0;0;0;0;15;9;21;65;147;268;554;785;4530;2658;4161;6770;8174;7097;7469;5762;184;5;4;3;4;2;0;0;0;158.46816664934158
2013.12.14;485747;48747;0;0;0;0;0;0;0;16;11;31;92;253;474;943;1659;12927;6960;11479;23643;34156;36603;51479;44934;258283;168;154;184;266;268;186;28;549;0;0;0;0;0;0;0;15;9;21;65;147;268;554;786;4530;2655;4156;6785;8184;7119;7493;5755;187;5;4;3;4;2;0;0;0;158.5524256825447
2013.12.15;485764;48758;0;0;0;0;0;0;0;16;11;31;92;253;474;943;1659;12924;6960;11483;23645;34133;36621;51322;44910;258492;162;153;184;267;267;186;27;548;0;0;0;0;0;0;0;15;9;21;65;147;268;554;786;4531;2655;4159;6776;8186;7120;7490;5772;186;5;4;3;4;2;0;0;0;158.55117446184158
2013.12.16;486011;48779;0;0;0;0;0;0;0;16;11;31;92;253;474;943;1659;12921;6958;11479;23635;34138;36616;51501;44969;258557;164;154;184;267;267;186;27;508;0;0;0;0;0;0;0;15;9;21;65;147;269;554;785;4529;2652;4156;6778;8184;7122;7503;5785;187;5;4;3;4;2;0;0;0;158.55476027727127
2013.12.17;485855;48746;0;0;0;0;0;0;0;16;11;31;92;252;474;943;1660;12912;6950;11479;23619;34104;36578;51504;44980;258480;164;155;185;269;267;186;25;518;0;0;0;0;0;0;0;15;9;21;65;144;267;551;784;4529;2656;4153;6779;8176;7105;7506;5780;188;5;4;3;4;2;0;0;0;158.53553420305252
2013.12.18;486243;48791;0;0;0;0;0;0;0;16;11;31;92;253;474;944;1658;12925;6952;11481;23658;34097;36610;51606;45029;258647;166;156;185;271;267;185;23;505;0;0;0;0;0;0;0;15;9;21;65;145;267;551;782;4530;2655;4159;6773;8195;7116;7539;5764;187;5;4;3;4;2;0;0;0;158.60500746965408
2013.12.19;486493;48803;0;0;0;0;0;0;0;16;11;31;92;252;473;943;1658;12926;6951;11484;23635;34081;36616;51686;45031;258846;164;156;185;272;266;184;22;511;0;0;0;0;0;0;0;15;9;21;65;144;267;550;783;4534;2657;4156;6773;8186;7130;7550;5759;186;5;4;3;4;2;0;0;0;158.56242018938065
2013.12.20;486209;48797;0;0;0;0;0;0;0;22;11;31;92;253;473;943;1658;12935;6949;11491;23659;33994;36589;51659;45053;258634;163;156;186;271;266;185;22;513;0;0;0;0;0;0;0;21;9;21;65;145;267;550;782;4530;2651;4151;6773;8171;7128;7553;5778;185;5;4;3;3;2;0;0;0;158.84792739152908
2013.12.21;486791;48839;0;0;0;0;0;0;0;16;11;31;92;253;473;944;1658;12939;6949;11509;23657;34121;36602;51683;45081;259000;168;159;186;272;271;185;30;500;0;0;0;0;0;0;0;14;9;21;65;145;267;551;784;4532;2652;4160;6772;8191;7130;7563;5780;187;4;4;3;3;2;0;0;0;158.64681655168533
2013.12.22;486764;48804;0;0;0;0;0;0;0;16;11;31;92;253;473;944;1658;12940;6950;11504;23652;34142;36590;51671;45036;259018;167;159;186;272;274;185;30;509;0;0;0;0;0;0;0;15;9;21;65;145;267;551;784;4532;2655;4161;6765;8186;7129;7553;5763;187;4;4;3;3;2;0;0;0;158.63654738664627
2013.12.23;486789;48813;0;0;0;0;0;0;0;16;11;31;92;253;473;944;1658;12941;6957;11514;23652;34101;36577;51694;44958;259170;164;156;186;271;265;182;27;495;0;0;0;0;0;0;0;15;9;21;65;145;268;551;784;4537;2659;4163;6758;8184;7119;7557;5777;185;4;4;3;3;2;0;0;0;158.6369441151619
2013.12.24;486831;48856;0;0;0;0;0;0;0;16;11;31;92;253;474;946;1659;12940;6958;11513;23692;34139;36570;51753;45091;258946;159;153;183;271;264;184;27;505;0;0;0;0;0;0;0;14;9;21;65;145;269;553;785;4535;2659;4164;6767;8190;7136;7559;5785;184;4;4;3;3;2;0;0;0;158.6486170887947
2013.12.25;487049;48860;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1659;12937;6955;11486;23699;34154;36608;51769;45166;259036;163;157;186;272;264;184;27;505;0;0;0;0;0;0;0;15;9;21;65;145;267;553;785;4537;2656;4135;6767;8198;7149;7571;5788;183;4;4;3;3;2;0;0;0;158.65725356340408
2013.12.26;487492;48973;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1661;12941;6966;11547;23755;34168;36601;51780;45165;259329;162;157;186;272;264;185;26;505;0;0;0;0;0;0;0;15;9;21;65;145;267;553;787;4540;2665;4201;6805;8201;7151;7568;5780;184;4;4;3;3;2;0;0;0;158.6638758778572
2013.12.27;487575;48967;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1661;12941;6963;11553;23715;34155;36596;51779;45142;259499;162;157;186;272;263;185;23;501;0;0;0;0;0;0;0;15;9;21;65;145;267;553;787;4539;2666;4199;6804;8194;7150;7566;5788;183;4;4;3;3;2;0;0;0;158.65031081438065
2013.12.28;487127;48922;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1661;12944;6966;11555;23704;34115;36591;51758;45110;259140;162;157;186;272;264;186;23;511;0;0;0;0;0;0;0;15;9;21;65;145;268;552;787;4540;2665;4203;6792;8194;7139;7555;5770;186;4;4;3;3;2;0;0;0;158.6646540760994
2013.12.29;487998;49111;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1661;12945;6961;11556;23714;34127;36617;51828;45183;259823;162;157;186;272;264;186;23;511;0;0;0;0;0;0;0;15;9;21;65;145;268;552;787;4542;2668;4200;6800;8208;7189;7614;5826;186;4;4;3;3;2;0;0;0;158.6814540028572
2013.12.30;487938;49077;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1660;12951;6966;11557;23713;34126;36598;51788;45163;259838;162;157;186;272;264;186;23;506;0;0;0;0;0;0;0;15;9;21;65;145;268;552;786;4544;2665;4201;6795;8201;7181;7596;5822;195;4;4;3;3;2;0;0;0;158.69437819719315
2013.12.31;487761;48973;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1660;12949;6968;11559;23732;34158;36578;51767;45195;259623;162;158;186;271;265;185;22;501;0;0;0;0;0;0;0;15;9;21;65;145;268;552;786;4549;2668;4198;6796;8202;7152;7561;5775;195;4;4;3;3;2;0;0;0;158.67553359270096
2014.01.01;487757;49010;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1658;12942;6972;11561;23735;34167;36583;51810;45237;259520;162;160;186;271;264;184;22;501;0;0;0;0;0;0;0;15;9;21;65;145;268;552;784;4545;2669;4199;6798;8199;7155;7582;5792;196;4;4;3;3;2;0;0;0;158.65201979875565
2014.01.02;487686;49019;0;0;0;0;0;0;0;16;11;31;92;253;473;945;1658;12941;6971;11559;23734;34151;36583;51799;45223;259489;163;159;186;272;267;184;22;503;0;0;0;0;0;0;0;15;9;21;65;145;268;552;783;4546;2671;4201;6803;8200;7154;7581;5792;197;4;4;3;3;2;0;0;0;158.66244155168533
2014.01.03;487712;49004;0;0;0;0;0;0;0;16;11;31;92;254;473;944;1659;12938;6975;11558;23738;34135;36589;51815;45205;259526;163;160;186;272;266;184;22;499;0;0;0;0;0;0;0;15;9;21;65;146;268;552;784;4546;2674;4203;6807;8207;7153;7582;5759;197;4;4;3;3;2;0;0;0;158.69697219133377
2014.01.04;487618;48941;0;0;0;0;0;0;0;16;11;31;92;254;473;943;1654;12922;6977;11561;23730;34130;36561;51813;45178;259505;163;161;187;272;266;185;22;510;0;0;0;0;0;0;0;15;9;21;65;147;269;554;782;4549;2676;4203;6796;8175;7154;7596;5718;196;4;4;3;3;2;0;0;0;158.64521437883377
2014.01.05;487726;48982;0;0;0;0;0;0;0;16;11;31;92;254;473;943;1655;12921;6966;11562;23730;34177;36597;51757;45205;259544;162;162;187;272;282;194;23;509;0;0;0;0;0;0;0;15;9;21;65;147;269;554;784;4546;2672;4199;6809;8208;7156;7584;5726;202;4;4;3;3;2;0;0;0;158.65072280168533
2014.01.06;487880;49052;0;0;0;0;0;0;0;16;11;31;92;254;473;944;1655;12924;6974;11569;23739;34197;36615;51784;45214;259593;162;162;187;272;284;194;23;510;0;0;0;0;0;0;0;15;9;21;65;147;269;554;784;4549;2678;4207;6815;8224;7170;7589;5734;206;4;4;3;3;2;0;0;0;158.68017226457596
2014.01.07;487825;49051;0;0;0;0;0;0;0;16;11;31;92;254;473;945;1655;12921;6974;11572;23741;34180;36631;51850;45152;259509;162;162;185;271;286;194;22;535;0;0;0;0;0;0;0;15;9;21;65;147;269;555;784;4548;2679;4207;6818;8228;7177;7584;5728;201;4;4;3;3;2;0;0;0;158.67631179094315
2014.01.08;488055;49056;0;0;0;0;0;0;0;16;11;31;92;254;474;945;1654;12915;6981;11571;23734;34209;36636;51904;45184;259624;162;163;185;271;284;194;22;538;0;0;0;0;0;0;0;15;9;21;65;146;269;553;784;4551;2681;4206;6820;8237;7186;7588;5706;203;4;4;3;3;2;0;0;0;158.6664393544197
2014.01.09;488203;49074;0;0;0;0;0;0;0;16;11;30;92;255;475;949;1652;12911;6985;11576;23726;34192;36647;51936;45211;259740;166;169;185;271;265;184;23;535;0;0;0;0;0;0;0;15;9;21;65;148;268;553;781;4550;2687;4209;6810;8229;7200;7602;5715;195;4;5;3;3;2;0;0;0;158.4888270497322
2014.01.10;488412;49115;0;0;0;0;0;0;0;16;11;30;92;255;475;947;1656;12920;7000;11587;23738;34202;36702;52005;45232;259756;163;171;185;271;266;184;23;524;0;0;0;0;0;0;0;15;9;21;65;148;269;553;784;4555;2693;4208;6808;8237;7209;7610;5722;192;4;5;3;3;2;0;0;0;158.5132868885994
2014.01.11;488928;49168;0;0;0;0;0;0;0;16;11;30;92;254;475;948;1656;12920;7006;11580;23774;34226;36703;52021;45310;260105;162;171;185;269;267;191;23;532;0;0;0;0;0;0;0;15;9;21;65;147;270;553;784;4558;2695;4216;6816;8240;7206;7619;5742;195;4;5;3;3;2;0;0;0;158.53947174549103
2014.01.12;488836;49155;0;0;0;0;0;0;0;16;11;30;92;254;475;948;1656;12916;7007;11573;23778;34224;36694;52013;45292;260058;162;171;185;269;268;191;23;529;0;0;0;0;0;0;0;15;9;21;65;147;270;553;784;4557;2696;4215;6814;8236;7210;7604;5751;191;4;5;3;3;2;0;0;0;158.5269900560379
2014.01.13;489064;49164;0;0;0;0;0;0;0;16;11;30;92;254;475;948;1656;12912;7006;11580;23774;34229;36718;51994;45300;260266;162;171;185;269;268;191;22;534;0;0;0;0;0;0;0;15;9;21;65;147;270;553;784;4553;2696;4216;6810;8239;7219;7617;5741;192;4;5;3;3;2;0;0;0;158.52529633045197
2014.01.14;488784;49065;0;0;0;0;0;0;0;16;11;30;92;254;475;948;1657;12914;7000;11587;23765;34193;36700;51902;45234;260220;161;170;186;268;265;185;25;525;0;0;0;0;0;0;0;15;9;21;65;147;270;552;785;4558;2696;4207;6800;8183;7210;7597;5747;186;4;5;3;3;2;0;0;0;158.56217604875565
2014.01.15;489056;49195;0;0;0;0;0;0;0;16;11;30;92;254;477;952;1658;12926;7002;11585;23826;34249;36683;51991;45308;260205;163;170;187;269;267;186;27;521;0;0;0;0;0;0;0;15;9;21;65;147;270;554;784;4561;2700;4211;6803;8264;7216;7600;5769;189;4;5;3;3;2;0;0;0;158.7121394276619
2014.01.16;489426;49193;0;0;0;0;0;0;0;16;11;30;92;254;477;954;1658;12930;7002;11590;23846;34271;36713;52051;45278;260458;164;169;187;270;268;187;27;522;0;0;0;0;0;0;0;15;9;21;65;147;270;555;784;4563;2704;4214;6816;8266;7231;7606;5718;192;4;5;3;3;2;0;0;0;158.75771743059158
2014.01.17;489515;49194;0;0;0;0;0;0;0;16;11;30;92;254;477;955;1662;12934;7015;11591;23854;34257;36713;52042;45368;260445;168;171;187;270;269;187;27;519;0;0;0;0;0;0;0;15;9;21;65;147;270;555;784;4566;2708;4208;6816;8247;7219;7604;5749;194;4;5;3;3;2;0;0;0;158.75869399309158
2014.01.19;489604;49213;0;0;0;0;0;0;0;16;11;30;92;253;477;955;1663;12934;7016;11599;23881;34240;36721;52086;45388;260332;174;181;195;283;283;240;28;525;0;0;0;0;0;0;0;15;9;21;65;147;270;555;785;4562;2709;4218;6820;8241;7227;7619;5729;203;4;5;4;3;2;0;0;0;158.71302443742752
2014.01.20;489983;49274;0;0;0;0;0;0;0;16;11;30;92;253;477;955;1663;12931;7015;11595;23879;34235;36734;52143;45450;260596;170;176;188;273;277;246;28;549;0;0;0;0;0;0;0;15;9;21;65;146;270;555;785;4562;2710;4217;6826;8259;7244;7622;5750;201;4;5;3;3;2;0;0;0;158.7051814198494
2014.01.21;490142;49308;0;0;0;0;0;0;0;16;11;30;92;253;477;955;1662;12935;7012;11603;23908;34262;36747;52187;45490;260594;170;176;188;273;276;247;28;549;0;0;0;0;0;0;0;15;9;21;65;146;270;556;785;4568;2704;4223;6837;8270;7251;7613;5756;202;4;5;3;3;2;0;0;0;158.72526198625565
2014.01.22;490284;49354;0;0;0;0;0;0;0;16;11;30;92;253;477;955;1662;12936;7011;11599;23908;34301;36797;52189;45525;260659;170;169;187;273;267;242;29;525;0;0;0;0;0;0;0;15;9;21;65;146;270;556;786;4566;2701;4223;6840;8271;7262;7639;5773;194;4;5;3;3;2;0;0;0;158.7383845448494
